REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC_2020,RANKING,RANGOS,Población_2017,Población_2002,Población_1992,Macroregioes
O'HIGGINS,LA ESTRELLA,727.3,70.5,516.0,297.9,257,Medio bajo,3041.0,3029.0,2787.0,Zona Central
RM,LA FLORIDA,953.5,283.8,754.5,588.8,16,Medio alto,366916.0,364602.0,327402.0,Zona Central
RM,LA GRANJA,935.9,128.39999999999998,646.2,426.6,100,Medio,116571.0,132832.0,133463.0,Zona Central
COQUIMBO,LA HIGUERA,618.9,50.6,505.0,251.0,309,Bajo,4241.0,3660.0,3376.0,Zona Norte Chico
VALPARAÍSO,LA LIGUA,813.6999999999999,108.3,643.0,384.1,137,Medio bajo,35390.0,31864.0,27187.0,Zona Central
RM,LA PINTANA,892.4,84.2,622.8000000000001,360.4,175,Medio bajo,177335.0,190270.0,169545.0,Zona Central
RM,LA REINA,970.0,282.3,818.6,607.4000000000001,11,Medio alto,92787.0,96434.0,91847.0,Zona Central
COQUIMBO,LA SERENA,890.9,278.5,781.4,578.8,19,Medio alto,221054.0,161243.0,120433.0,Zona Norte Chico
LOS RÍOS,LA UNIÓN,730.8,137.3,789.8,429.5,97,Medio,38036.0,38690.0,38770.0,Zona Sur
LOS RÍOS,LAGO RANCO,589.3000000000001,47.1,600.7,255.5,306,Bajo,9896.0,10034.0,10370.0,Zona Sur
AYSÉN,LAGO VERDE,747.8000000000001,78.7,509.2,310.6,243,Medio bajo,852.0,956.0,1032.0,Zona Austral
MAGALLANES,LAGUNA BLANCA,688.2,152.29999999999998,512.1,377.2,147,Medio bajo,274.0,603.0,426.0,Zona Austral
BIOBÍO,LAJA,738.3,83.1,691.9,348.8,196,Medio bajo,22389.0,22372.0,24347.0,Zona Sur
RM,LAMPA,844.1999999999999,170.8,615.4,446.1,86,Medio,102034.0,40074.0,24770.0,Zona Central
LOS RÍOS,LANCO,721.0999999999999,95.0,623.6,349.5,193,Medio bajo,16752.0,14666.0,13434.0,Zona Sur
O'HIGGINS,LAS CABRAS,782.3,75.30000000000001,643.4,335.9,210,Medio bajo,24640.0,19982.0,17502.0,Zona Central
RM,LAS CONDES,992.6,780.0,866.0,875.1999999999999,2,Alto,294838.0,246474.0,205359.0,Zona Central
ARAUCANÍA,LAUTARO,719.8,117.0,623.9,374.6,149,Medio bajo,38013.0,32201.0,29147.0,Zona Sur
BIOBÍO,LEBU,837.0999999999999,143.8,634.8000000000001,424.4,102,Medio,25522.0,25013.0,24771.0,Zona Sur
MAULE,LICANTÉN,700.2,72.8,645.8000000000001,320.5,229,Medio bajo,6653.0,6732.0,6047.0,Zona Central
VALPARAÍSO,LIMACHE,901.5,156.4,669.6,455.4,79,Medio,46121.0,39020.0,34706.0,Zona Central
MAULE,LINARES,856.3,175.0,813.8,495.9,59,Medio alto,93602.0,83396.0,77286.0,Zona Central
